Club,Average_Wage,Total_Players
Real Madrid,152.030303,33
FC Barcelona,146.5757576,33
Juventus,131.68,25
Manchester City,113.3636364,33
Manchester United,102.7575758,33
Chelsea,98.45454545,33
Liverpool,87.93939394,33
Tottenham Hotspur,79.48484848,33
FC Bayern Munich,78.82758621,29
Arsenal,78.42424242,33
Milan,72.48148148,27
Paris Saint-Germain,72.03333333,30
Napoli,71.08,25
Inter,66.5,24
Everton,61.03030303,33
Roma,53.80769231,26
West Ham United,53.75,32
Atlético Madrid,46.45454545,33
Bayer 04 Leverkusen,44.65384615,26
Leicester City,43.90625,32
Fenerbahçe SK,39.53333333,30
Olympique Lyonnais,38.79310345,29
Lazio,38.3125,32
Borussia Dortmund,38.12121212,33
AS Monaco,37.90909091,33
Fiorentina,34.95833333,24
Watford,34.89655172,29
Beşiktaş JK,34.82142857,28
Burnley,34.09090909,33
Olympique de Marseille,33.31034483,29
Galatasaray SK,32.6,30
Bournemouth,32.375,32
Crystal Palace,31.1875,32
RB Leipzig,30.96428571,28
Southampton,30.09090909,33
Sassuolo,30.03703704,27
Newcastle United,29.42424242,33
Wolverhampton Wanderers,29.15151515,33
Fulham,28.78125,32
Celtic,28.60714286,28
Tigres U.A.N.L.,28.4,30
Torino,28.38461538,26
VfL Wolfsburg,28.375,32
Brighton & Hove Albion,28.28125,32
Valencia CF,28.12121212,33
Club América,27.73333333,30
Stoke City,26.06666667,30
Atlético Mineiro,25.85,20
Sampdoria,25.18518519,27
Nottingham Forest,24.9,30
Villarreal CF,24.71875,32
FC Schalke 04,24.5862069,29
Middlesbrough,24.5,30
TSG 1899 Hoffenheim,24.06060606,33
Rangers FC,23.89285714,28
Cagliari,23.54166667,24
Eintracht Frankfurt,23.36363636,33
Parma,23.24137931,29
Girona FC,22.96551724,29
Monterrey,22.96153846,26
Cardiff City,22.93939394,33
Real Betis,22.92592593,27
Huddersfield Town,22.875,32
Bologna,22.28571429,28
Grêmio,22.25,20
FC Girondins de Bordeaux,22.19354839,31
Derby County,22.1,30
Real Sociedad,21.48387097,31
Atalanta,21.04166667,24
VfB Stuttgart,20.96296296,27
Borussia Mönchengladbach,20.86666667,30
AS Saint-Étienne,19.95833333,24
Internacional,19.85,20
Medipol Başakşehir FK,19.67857143,28
Leeds United,19.5,30
Cruzeiro,19.35,20
SD Eibar,19.34482759,29
Hannover 96,19.27586207,29
Stade Rennais FC,19.22222222,27
Fluminense,18.95,20
OGC Nice,18.78571429,28
Sevilla FC,18.53333333,30
CD Leganés,18.3030303,33
Boca Juniors,18.2962963,27
Al Hilal,18.06666667,30
SV Werder Bremen,17.78125,32
West Bromwich Albion,17.76666667,30
Deportivo Alavés,17.59259259,27
Athletic Club de Bilbao,17.48387097,31
Wigan Athletic,17.4,30
Levante UD,17.34375,32
Getafe CF,17.25,28
Hertha BSC,16.875,32
RCD Espanyol,16.20689655,29
Bristol City,16.03333333,30
Guangzhou Evergrande Taobao FC,15.85714286,28
FC Nantes,15.8125,32
Toulouse Football Club,15.74193548,31
FC Red Bull Salzburg,15.74074074,27
Udinese,15.6,30
1. FSV Mainz 05,15.5625,32
RC Celta,15.54545455,33
Trabzonspor,15.53571429,28
Aston Villa,15.53333333,30
Rayo Vallecano,15.24242424,33
Al Ahli,15.16666667,30
Sporting CP,14.86666667,30
FC Porto,14.64285714,28
Guadalajara,14.62068966,29
Al Nassr,14.51724138,29
LOSC Lille,14.36,25
Botafogo,14,20
Independiente,14,28
SC Freiburg,13.86666667,30
Norwich City,13.83333333,30
Fortuna Düsseldorf,13.81818182,33
Brentford,13.76666667,30
En Avant de Guingamp,13.72,25
River Plate,13.72,25
FC Augsburg,13.67741935,31
Swansea City,13.66666667,30
1. FC Union Berlin,13.64285714,28
Montpellier HSC,13.64285714,28
FC Basel 1893,13.51851852,27
Sheffield Wednesday,13.5,30
Club Brugge KV,13.32142857,28
1. FC Köln,13.28571429,28
Cruz Azul,13.16,25
Stade Malherbe Caen,13.03571429,28
Angers SCO,12.6,30
Racing Club,12.5,28
SC Braga,12.5,28
Göztepe SK,12.42857143,28
SD Huesca,12.4,30
Al Ittihad,12.36666667,30
Genoa,12.2962963,27
Blackburn Rovers,12.13333333,30
Reading,12.1,30
SL Benfica,12.03571429,28
Ajax,11.83333333,30
Pachuca,11.82758621,29
Real Valladolid CF,11.8,30
Deportivo Toluca,11.75,28
Club León,11.6,30
Vitesse,11.35714286,28
KAA Gent,11.25,28
MKE Ankaragücü,11.24137931,29
RSC Anderlecht,11.03571429,28
Santos Laguna,10.88461538,26
1. FC Nürnberg,10.65517241,29
Chievo Verona,10.64285714,28
Frosinone,10.57575758,33
Santos,10.55,20
SPAL,10.2962963,27
FC København,10.17391304,23
Birmingham City,10.16666667,30
Paraná,10.15,20
Standard de Liège,10.03571429,28
FC Ingolstadt 04,9.866666667,30
Hull City,9.833333333,30
RC Strasbourg Alsace,9.678571429,28
Atiker Konyaspor,9.62962963,27
Amiens SC,9.620689655,29
América FC (Minas Gerais),9.6,20
PSV,9.6,30
Bursaspor,9.533333333,30
Brøndby IF,9.407407407,27
FC Utrecht,9.269230769,26
Chapecoense,9.2,20
KRC Genk,9.16,25
San Lorenzo de Almagro,9.107142857,28
Akhisar Belediyespor,9.076923077,26
Nîmes Olympique,9,27
Sivasspor,9,27
FC Midtjylland,8.925925926,27
Dijon FCO,8.923076923,26
Ceará Sporting Club,8.9,20
Stade de Reims,8.896551724,29
BSC Young Boys,8.875,24
Al Wehda,8.866666667,30
Feyenoord,8.821428571,28
Sport Club do Recife,8.75,20
Kayserispor,8.72,25
Empoli,8.606060606,33
Sheffield United,8.5,30
Deportivo de La Coruña,8.433333333,30
FC Sion,8.37037037,27
SV Darmstadt 98,8.37037037,27
Vitória,8.35,20
Rotherham United,8.346153846,26
Al Shabab,8.3,30
Atlético Paranaense,8.1,20
U.N.A.M.,8.034482759,29
UD Las Palmas,7.931034483,29
Málaga CF,7.9,30
AZ Alkmaar,7.866666667,30
Bahia,7.85,20
Club Atlético Lanús,7.821428571,28
Beijing Sinobo Guoan FC,7.785714286,28
Club Tijuana,7.75,28
